País,Ano,Volume Litro,Valor
França,2013,24,653.0
Japão,2013,3535083,10484979.0
Líbia,2013,7584,20760.0
Malásia,2013,18550,53795.0
México,2013,86626,310549.0
Nigéria,2013,30,56.0
Nova Zelândia,2013,18550,46376.0
Países Baixos,2013,185500,475488.0
Paraguai,2013,57407,106312.0
Peru,2013,10755,26560.0
República Dominicana,2013,37365,83445.0
Suriname,2013,12250,45693.0
Tailândia,2013,3300,58383.0
"Tcheca, República",2013,120,416.0
Trinidade e Tobago,2013,18550,63958.0
Venezuela,2013,123975,376208.0
"Alemanha, República Democrática da",2014,38480,23268.0
Angola,2014,1200,2880.0
Argentina,2014,250,775.0
Bolívia,2014,3414,7448.0
Canadá,2014,76,115.0
Chile,2014,789,4539.0
Colômbia,2014,4000,13530.0
Coveite,2014,655,2022.0
Estados Unidos,2014,8970,25290.0
Guine Equatorial,2014,45,385.0
Japão,2014,4450419,11610811.0
Líbia,2014,30720,96754.0
México,2014,109550,281131.0
Nova Zelândia,2014,9275,24115.0
Paraguai,2014,118336,192846.0
Peru,2014,10995,29702.0
Porto Rico,2014,18550,48230.0
Reino Unido,2014,312,1692.0
República Dominicana,2014,25970,97634.0
Suriname,2014,25250,94184.0
Tailândia,2014,4980,19920.0
"Tcheca, República",2014,360,1184.0
Trinidade e Tobago,2014,37100,127997.0
Venezuela,2014,53333,159345.0
"Alemanha, República Democrática da",2015,6,6.0
Angola,2015,1378,1739.0
Argentina,2015,800,5992.0
Austrália,2015,271,636.0
Benin,2015,438,321.0
Bolívia,2015,9867,21856.0
China,2015,6029,20101.0
Colômbia,2015,6650,18296.0
Estados Unidos,2015,19753,42721.0
Filipinas,2015,102555,201996.0
Hong Kong,2015,28371,39910.0
Itália,2015,6,20.0
Japão,2015,2036338,4596349.0
Líbia,2015,33156,87798.0
México,2015,82377,238026.0
Nova Zelândia,2015,9275,20405.0
Países Baixos,2015,31,38.0
Panamá,2015,450,617.0
Paraguai,2015,170571,232486.0
República Dominicana,2015,20270,65855.0
Suriname,2015,23445,85387.0
Togo,2015,642,489.0
