País,Volume Litro,Valor,Valor Litro,Temperatura
Serra Leoa,3.0,9.0,3.0,26.54
Singapura,50157.0,381115.0,7.598440895587854,
Sri Lanka,52.0,110.0,2.1153846153846154,27.25
Suriname,25.0,62.0,2.48,26.58
Suécia,869664.0,1816772.0,2.089050483865033,3.23
Suíça,13270.0,152648.0,11.503240391861342,6.47
São Cristóvão e Névis,36.0,152.0,4.222222222222222,
São Vicente e Granadinas,112.0,393.0,3.5089285714285716,26.17
Tailândia,4105.0,16745.0,4.079171741778319,26.85
Taiwan,324.0,1053.0,3.25,
Tanzânia,19.0,76.0,4.0,22.92
Togo,13.0,52.0,4.0,
Ilhas Turcas e Caicos,28.0,74.0,2.642857142857143,
Turquia,2154.0,6002.0,2.7864438254410397,
Tuvalu,7.0,26.0,3.7142857142857144,28.62
Uruguai,1237086.0,2205650.0,1.7829399087856463,17.97
Vanuatu,210.0,538.0,2.5619047619047617,24.44
Vietnã,251.0,808.0,3.2191235059760954,24.79
Áustria,20.0,41.0,2.05,7.44
Índia,2884.0,7862.0,2.7260748959778085,24.94
