País,Ano,Volume Litro,Valor
Eslovênia,2014,445,2329.0
Espanha,2014,925502,4519845.0
Estados Unidos,2014,27023,101802.0
França,2014,1230946,20831149.0
Grécia,2014,329,1459.0
Hungria,2014,518,1715.0
Itália,2014,1095148,4462987.0
Nova Zelândia,2014,450,3023.0
Peru,2014,305,977.0
Portugal,2014,60430,316889.0
Romênia,2014,743,1011.0
Uruguai,2014,1068,3310.0
Africa do Sul,2015,19686,96316.0
Alemanha,2015,3647,5589.0
Argentina,2015,490536,1814349.0
Austrália,2015,4967,15439.0
Bahamas,2015,73,684.0
Brasil,2015,6383,47936.0
Bulgária,2015,4,7.0
Chile,2015,236342,838250.0
Croácia,2015,225,483.0
Cuba,2015,29,243.0
Emirados Árabes Unidos,2015,104,2005.0
Eslovênia,2015,1058,5075.0
Espanha,2015,899587,4183324.0
Estados Unidos,2015,18519,85864.0
França,2015,1341884,21849752.0
Grécia,2015,577,1574.0
Irlanda,2015,391,4062.0
Itália,2015,1017420,3670403.0
México,2015,1154,9334.0
Nova Zelândia,2015,135,1684.0
Portugal,2015,59472,223379.0
Reino Unido,2015,467,4211.0
Romênia,2015,488,528.0
Uruguai,2015,1760,2832.0
Africa do Sul,2016,7394,50715.0
Alemanha,2016,3420,8275.0
Argentina,2016,358510,1240249.0
Austrália,2016,19182,32115.0
Bahamas,2016,60,688.0
Brasil,2016,1014,4936.0
Chile,2016,117678,523242.0
Emirados Árabes Unidos,2016,2371,38954.0
Eslovênia,2016,2115,9486.0
Espanha,2016,864154,3249876.0
Estados Unidos,2016,12343,30366.0
França,2016,1171383,12017375.0
Hungria,2016,1238,5927.0
Itália,2016,1089617,3467993.0
Portugal,2016,88448,321629.0
Suíça,2016,11,711.0
Ucrânia,2016,1739,2423.0
Uruguai,2016,7880,42863.0
Africa do Sul,2017,4913,23919.0
Alemanha,2017,4819,37116.0
Argentina,2017,661857,2249681.0
Austrália,2017,19198,51731.0
Bahamas,2017,519,11136.0
Bélgica,2017,923,50574.0
Brasil,2017,6166,180512.0
Bulgária,2017,3,716.0
Chile,2017,304391,1350744.0
Eslovênia,2017,2093,10110.0
Espanha,2017,1493908,5592839.0
Estados Unidos,2017,8408,226792.0
França,2017,1778528,14966946.0
Grécia,2017,156,277.0
Hungria,2017,1624,6960.0
Itália,2017,3065767,5635842.0
Portugal,2017,123786,492083.0
Reino Unido,2017,350,2424.0
Uruguai,2017,1080,7920.0
Africa do Sul,2018,15368,74800.0
Alemanha,2018,18376,82273.0
Argentina,2018,706478,2462909.0
Austrália,2018,57917,212199.0
Áustria,2018,1228,11638.0
Bahamas,2018,169,2283.0
Brasil,2018,566215,162992.0
Canada,2018,3852,109402.0
Chile,2018,316293,1312445.0
Eslovênia,2018,1800,8860.0
Espanha,2018,1515106,5707839.0
Estados Unidos,2018,26405,64081.0
França,2018,3637804,12678962.0
Hungria,2018,1802,5977.0
Indonésia,2018,35,271.0
Itália,2018,2147490,5947967.0
Luxemburgo,2018,208,1902.0
México,2018,95,777.0
Países Baixos,2018,305,10695.0
Panamá,2018,15057,30546.0
Portugal,2018,128802,526987.0
Reino Unido,2018,3834,104831.0
Suíça,2018,576,4031.0
Uruguai,2018,776,5786.0
Africa do Sul,2019,17583,72077.0
Alemanha,2019,26853,169989.0
Argentina,2019,757716,2282614.0
Austrália,2019,16701,27592.0
Áustria,2019,1269,11571.0
Brasil,2019,15464,238268.0
Chile,2019,233064,912613.0
Eslovênia,2019,518,2539.0
Espanha,2019,1440241,4463736.0
Estados Unidos,2019,13239,105197.0
França,2019,1610293,13991734.0
Grécia,2019,230,318.0
Hungria,2019,585,1379.0
Indonésia,2019,66,529.0
Israel,2019,5035,17085.0
Itália,2019,1874314,4790173.0
Luxemburgo,2019,518,4067.0
México,2019,133,1104.0
Nova Zelândia,2019,72,657.0
Países Baixos,2019,827,47027.0
Portugal,2019,144296,621259.0
Reino Unido,2019,1320,11869.0
Uruguai,2019,2241,22983.0
Africa do Sul,2020,3574,14542.0
Alemanha,2020,21174,65359.0
Argentina,2020,469547,1304986.0
Austrália,2020,7426,15190.0
Áustria,2020,909,9399.0
Brasil,2020,3491,106310.0
Chile,2020,253225,775535.0
Eslovênia,2020,68,327.0
Espanha,2020,1421655,3871128.0
Estados Unidos,2020,13255,31083.0
França,2020,1116188,8814571.0
Hong Kong,2020,72,5061.0
Hungria,2020,765,2061.0
Israel,2020,296,9540.0
Itália,2020,1524542,3544718.0
Países Baixos,2020,3412,151690.0
Portugal,2020,102324,324099.0
Reino Unido,2020,2309,17975.0
Suíça,2020,481,15222.0
Uruguai,2020,2908,18124.0
Africa do Sul,2021,6980,36677.0
Alemanha,2021,19977,46237.0
Argentina,2021,723847,2211657.0
Austrália,2021,8062,26208.0
Áustria,2021,90,1434.0
Bermudas,2021,70,611.0
Brasil,2021,548,3488.0
Chile,2021,232948,686466.0
Eslovênia,2021,450,2426.0
Espanha,2021,2016806,5732174.0
Estados Unidos,2021,143,2173.0
França,2021,1134059,12590570.0
Grécia,2021,92,422.0
Hungria,2021,1142,2471.0
Itália,2021,1093108,3142129.0
Portugal,2021,65238,277677.0
Reino Unido,2021,254,3016.0
Romênia,2021,432,2271.0
Suíça,2021,66,376.0
Uruguai,2021,8947,47217.0
Africa do Sul,2022,9882,64582.0
Alemanha,2022,12447,26877.0
Argentina,2022,1333420,4123623.0
Bermudas,2022,5,67.0
Bulgária,2022,976,1535.0
Canada,2022,54,1017.0
Chile,2022,342625,959421.0
Eslovênia,2022,803,2982.0
Espanha,2022,2236061,5668798.0
Estados Unidos,2022,181,2053.0
França,2022,1268840,13164535.0
Geórgia,2022,915,2325.0
Grécia,2022,92,366.0
Hungria,2022,2090,3828.0
Itália,2022,1169909,3356633.0
Moldávia,2022,2892,3713.0
Nova Zelândia,2022,270,3114.0
Portugal,2022,103443,391952.0
Romênia,2022,1914,5007.0
Ucrânia,2022,1330,1616.0
Uruguai,2022,1206,5579.0
Africa do Sul,2023,7650,69382.0
Alemanha,2023,322,5111.0
Argentina,2023,839006,2765843.0
Austrália,2023,3150,10474.0
Áustria,2023,882,8833.0
Bermudas,2023,3,54.0
Brasil,2023,7,184.0
Canada,2023,23,279.0
Chile,2023,592991,1952709.0
Espanha,2023,3438264,9801916.0
Estados Unidos,2023,259,10273.0
França,2023,1401753,20166147.0
Granada,2023,2,40.0
Grécia,2023,300,1757.0
Itália,2023,952639,3533749.0
Moldávia,2023,955,1165.0
Portugal,2023,95326,386265.0
Reino Unido,2023,1507,28581.0
Romênia,2023,743,3841.0
Suíça,2023,464,34430.0
Uruguai,2023,10814,45704.0
